DELITO_DESAGREGACION,delitos_seguimiento_predicted,count(robos.NDD)
"ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS","ROBO A UNIDADES ECONOMICAS",2
"ROBO EN LOCALES COMERCIALES","ROBO A UNIDADES ECONOMICAS",2
"ROBO A BIENES DE INSTITUCIONES EDUCATIVAS","ROBO DE CARROS",2
"HURTO A ACCESORIOS","ROBO A DOMICILIO",2
"ROBO DE ACCESORIOS DE VEHÍCULOS","ROBO A UNIDADES ECONOMICAS",2
"ROBO DE BIENES A EMPRESA/FABRICA","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",2
"ROBO DE BIENES PERSONALES AL INTERIOR DEL VEHÍCULO","ROBO DE MOTOS",2
"ROBO A  BOTES PESQUEROS – YATES- FIBRAS-VELEROS ETC.","ROBO A PERSONAS",2
"ROBO A BANCOS - ENTIDADES  FINANCIERAS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",2
"ROBO A BANCOS - ENTIDADES  FINANCIERAS","ROBO A DOMICILIO",2
"HURTO A ACCESORIOS","ROBO A UNIDADES ECONOMICAS",2
"ROBO A EMBARCACIONES","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",2
"ROBO A BIENES DE ENTIDADES FINANCIERAS","ROBO DE CARROS",2
"ROBO A BIENES DE INSTITUCIONES DE SALUD","ROBO DE CARROS",2
"HURTO A BIENES PATRIMONIALES","OTROS ROBOS",2
"ROBO A BANCOS - ENTIDADES  FINANCIERAS","ROBO A DOMICILIO",2
"HURTO A DOMICILIO","ROBO A UNIDADES ECONOMICAS",2
"HURTO A BIENES PUBLICOS","ROBO A UNIDADES ECONOMICAS",2
"ROBO A VEHICULOS DE TRANSPORTE DE VALORES","ROBO A PERSONAS",2
"ROBO DE BIENES PERSONALES AL INTERIOR DEL VEHÍCULO","ROBO A UNIDADES ECONOMICAS",2
"ROBO A BIENES DE INSTITUCIONES DE SALUD",NULL,2
"HURTO A DOMICILIO","ROBO A UNIDADES ECONOMICAS",1
"ROBO DE BIENES A ENTIDAD PRIVADA","ROBO DE MOTOS",1
"HURTO A BIENES PUBLICOS","ROBO DE MOTOS",1
"ROBO DE MOTORES EMBARCACIONES","ROBO A UNIDADES ECONOMICAS",1
"HURTO A CARROS","ROBO A PERSONAS",1
"HURTO A BIENES DE UNIDADES ECONOMICAS","ROBO A UNIDADES ECONOMICAS",1
"HURTO A ACCESORIOS","ROBO DE MOTOS",1
"ROBO A BIENES DE INSTITUCIONES DE SALUD","ROBO A PERSONAS",1
"HURTO DE LO REQUISADO","OTROS ROBOS",1
"HURTO A ACCESORIOS","ROBO A UNIDADES ECONOMICAS",1
"ROBO A EMBARCACIONES","ROBO DE MOTOS",1
"ROBO DE CARROS","ROBO A UNIDADES ECONOMICAS",1
"ROBO DE CARROS","ROBO A PERSONAS",1
"ROBO A BIENES PATRIMONIALES","OTROS ROBOS",1
"ROBO DE MOTOS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",1
"HURTO A MOTOS","ROBO A PERSONAS",1
"HURTO A DOMICILIO","ROBO A UNIDADES ECONOMICAS",1
"HURTO A DOMICILIO","ROBO DE MOTOS",1
"HURTO A PERSONAS","ROBO A UNIDADES ECONOMICAS",1
"ROBO DE MOTORES EMBARCACIONES","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",1
"HURTO A PERSONAS","ROBO A UNIDADES ECONOMICAS",1
"HURTO A BIENES PATRIMONIALES","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",1
"ROBO DE MOTOS","ROBO A UNIDADES ECONOMICAS",1
"HURTO A MOTOS","ROBO DE MOTOS",1
"ROBO EN LOCALES COMERCIALES",NULL,1
"ROBO DE VEHÍCULOS",NULL,1
"ROBO DE BIENES PERSONALES AL INTERIOR DEL VEHÍCULO","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",1
TRANSITO,"ROBO A PERSONAS",1
"HURTO DE BIENES DE USO POLICIAL O MILITAR","OTROS ROBOS",1
"HURTO A ACCESORIOS",NULL,1
"HURTO A CARROS",NULL,1
